title,overview
Inception,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O. Genre: Action, Adventure, Sci-Fi"
La vie d'Adèle,"Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss. Genre: Drama, Romance"
3:10 to Yuma,"A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher. Genre: Action, Crime, Drama"
Jagten,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie. Genre: Drama"
Logan,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety. Genre: Action, Drama, Sci-Fi"
Tumbbad,"A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born. Genre: Drama, Fantasy, Horror"
Pink,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names. Genre: Drama, Thriller"
My Name Is Khan,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey. Genre: Drama
Dances with Wolves,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military. Genre: Adventure, Drama, Western"
Bound by Honor,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo. Genre: Crime, Drama"
Ang-ma-reul bo-at-da,"A secret agent exacts revenge on a serial killer through a series of captures and releases. Genre: Action, Crime, Drama"
What We Do in the Shadows,"Viago, Deacon and Vladislav are vampires who are finding that modern life has them struggling with the mundane - like paying rent, keeping up with the chore wheel, trying to get into nightclubs and overcoming flatmate conflicts. Genre: Comedy, Horror"
Scent of a Woman,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated. Genre: Drama"
Salinui chueok,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit. Genre: Crime, Drama, Mystery"
Kelly's Heroes,"A group of U.S. soldiers sneaks across enemy lines to get their hands on a secret stash of Nazi treasure. Genre: Adventure, Comedy, War"
Batman Begins,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption. Genre: Action, Adventure"
Ah-ga-ssi,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her. Genre: Drama, Romance, Thriller"
Anatomy of a Murder,"In a murder trial, the defendant says he suffered temporary insanity after the victim raped his wife. What is the truth, and will he win his case? Genre: Crime, Drama, Mystery"
Withnail & I,"In 1969, two substance-abusing, unemployed actors retreat to the countryside for a holiday that proves disastrous. Genre: Comedy, Drama"
Die Hard,"An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles. Genre: Action, Thriller"
Gone Baby Gone,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally. Genre: Crime, Drama, Mystery"
Kramer vs. Kramer,"Ted Kramer's wife leaves him, allowing for a lost bond to be rediscovered between Ted and his son, Billy. But a heated custody battle ensues over the divorced couple's son, deepening the wounds left by the separation. Genre: Drama"
White Heat,"A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist. Genre: Action, Crime, Drama"
The Last of the Mohicans,"Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War. Genre: Action, Adventure, Drama"
The Godfather: Part III,"Follows Michael Corleone, now in his 60s, as he seeks to free his family from crime and find a suitable successor to his empire. Genre: Crime, Drama"
Duck Soup,"Rufus T. Firefly is named president/dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of wealthy Mrs. Teasdale. Genre: Comedy, Musical, War"
